example,s,r,eig_min,eig_max,feasible,hessian,fisher,acceleration,min_event_probability
canonical_n5,0.2,0.002,0.03269623417569455,0.913000592025506,True,-0.33489882728228515,-0.0,-0.33489882728228515,0.00021034611462883662
canonical_n5,0.2,0.005,0.03269623417569455,0.913000592025506,True,-0.3330631867226056,-0.0,-0.3330631867226056,0.00021034611462883662
canonical_n5,0.2,0.01,0.03269623417569455,0.913000592025506,True,-0.3300179240258642,-0.0,-0.3300179240258642,0.00021034611462883662
canonical_n5,0.2,0.02,0.03269623417569455,0.913000592025506,True,-0.3239804170175819,-0.0,-0.3239804170175819,0.00021034611462883662
canonical_n5,0.2,0.05,0.03269623417569455,0.913000592025506,True,-0.3062920430743693,-0.0,-0.3062920430743693,0.00021034611462883662
canonical_n5,0.2,0.1,0.03269623417569455,0.913000592025506,True,-0.27822524344112864,-0.0,-0.27822524344112864,0.00021034611462883662
canonical_n5,0.2,0.2,0.03269623417569455,0.913000592025506,True,-0.22739348269506487,-0.0,-0.22739348269506487,0.00021034611462883662
canonical_n5,0.2,0.4,0.03269623417569455,0.913000592025506,True,-0.14693731528461385,-0.0,-0.14693731528461385,0.00021034611462883662
canonical_n5,0.2,0.6,0.03269623417569455,0.913000592025506,True,-0.09475761998306304,-0.0,-0.09475761998306304,0.00021034611462883662
canonical_n5,0.2,0.8,0.03269623417569455,0.913000592025506,True,-0.07085439679041255,-0.0,-0.07085439679041255,0.00021034611462883662
canonical_n5,0.2,1.0,0.03269623417569455,0.913000592025506,True,-0.07522764570666242,-0.0,-0.07522764570666242,0.00021034611462883662
canonical_n5,0.4,0.0,0.06467863573086148,0.8281334487592398,True,-0.21748012840041744,-0.0,-0.21748012840041744,0.001277556718192502
canonical_n5,0.4,0.0001,0.06467863573086148,0.8281334487592398,True,-0.21744124241700874,-0.0,-0.21744124241700874,0.001277556718192502
canonical_n5,0.4,0.0005,0.06467863573086148,0.8281334487592398,True,-0.21728573925297692,-0.0,-0.21728573925297692,0.001277556718192502
canonical_n5,0.4,0.001,0.06467863573086148,0.8281334487592398,True,-0.2170914520295483,-0.0,-0.2170914520295483,0.001277556718192502
canonical_n5,0.4,0.002,0.06467863573086148,0.8281334487592398,True,-0.21670318335472688,-0.0,-0.21670318335472688,0.001277556718192502
canonical_n5,0.4,0.005,0.06467863573086148,0.8281334487592398,True,-0.21554082350655368,-0.0,-0.21554082350655368,0.001277556718192502
canonical_n5,0.4,0.01,0.06467863573086148,0.8281334487592398,True,-0.21361171101389625,-0.0,-0.21361171101389625,0.001277556718192502
canonical_n5,0.4,0.02,0.06467863573086148,0.8281334487592398,True,-0.20978406323220028,-0.0,-0.20978406323220028,0.001277556718192502
canonical_n5,0.4,0.05,0.06467863573086148,0.8281334487592398,True,-0.19854573751605775,-0.0,-0.19854573751605775,0.001277556718192502
canonical_n5,0.4,0.1,0.06467863573086148,0.8281334487592398,True,-0.18063058675230587,-0.0,-0.18063058675230587,0.001277556718192502
canonical_n5,0.4,0.2,0.06467863573086148,0.8281334487592398,True,-0.14785800558662912,-0.0,-0.14785800558662912,0.001277556718192502
canonical_n5,0.4,0.4,0.06467863573086148,0.8281334487592398,True,-0.09454372470257935,-0.0,-0.09454372470257935,0.001277556718192502
canonical_n5,0.4,0.6,0.06467863573086148,0.8281334487592398,True,-0.05753728574826811,-0.0,-0.05753728574826811,0.001277556718192502
canonical_n5,0.4,0.8,0.06467863573086148,0.8281334487592398,True,-0.03683868872369559,-0.0,-0.03683868872369559,0.001277556718192502
canonical_n5,0.4,1.0,0.06467863573086148,0.8281334487592398,True,-0.03244793362886168,-0.0,-0.03244793362886168,0.001277556718192502
canonical_n5,0.6,0.0,0.09554533967380369,0.7476539178360633,True,-0.10784417345240166,-0.0,-0.10784417345240166,0.003134896771568366
canonical_n5,0.6,0.0001,0.09554533967380369,0.7476539178360633,True,-0.10782638910920778,-0.0,-0.10782638910920778,0.003134896771568366
canonical_n5,0.6,0.0005,0.09554533967380369,0.7476539178360633,True,-0.10775526966654045,-0.0,-0.10775526966654045,0.003134896771568366
canonical_n5,0.6,0.001,0.09554533967380369,0.7476539178360633,True,-0.10766641070594993,-0.0,-0.10766641070594993,0.003134896771568366
canonical_n5,0.6,0.002,0.09554533967380369,0.7476539178360633,True,-0.10748882726058281,-0.0,-0.10748882726058281,0.003134896771568366
canonical_n5,0.6,0.005,0.09554533967380369,0.7476539178360633,True,-0.10695715273098774,-0.0,-0.10695715273098774,0.003134896771568366
canonical_n5,0.6,0.01,0.09554533967380369,0.7476539178360633,True,-0.10607461453668776,-0.0,-0.10607461453668776,0.003134896771568366
canonical_n5,0.6,0.02,0.09554533967380369,0.7476539178360633,True,-0.10432298572942447,-0.0,-0.10432298572942447,0.003134896771568366
canonical_n5,0.6,0.05,0.09554533967380369,0.7476539178360633,True,-0.09917567995834128,-0.0,-0.09917567995834128,0.003134896771568366
canonical_n5,0.6,0.1,0.09554533967380369,0.7476539178360633,True,-0.09095543917555593,-0.0,-0.09095543917555593,0.003134896771568366
canonical_n5,0.6,0.2,0.09554533967380369,0.7476539178360633,True,-0.07585971574381198,-0.0,-0.07585971574381198,0.003134896771568366
canonical_n5,0.6,0.4,0.09554533967380369,0.7476539178360633,True,-0.05104730141562984,-0.0,-0.05104730141562984,0.003134896771568366
