family,epsilon,n,delta,threshold_status,symmetric_difference,transition_count,count_over_log_n,spectral_distance_to_01,closest_to_half,eig_min,eig_max
near_symmetric_m2_least,0.05,32,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,32,9.233248261689365,2.857553508406573,0.52789206869095384;0.61629438199330988;0.21973919722930879;0.17675965429200241;0.85342484548137376;0.89177147033576687,0.04999999999999975,0.9499977351300922
near_symmetric_m2_least,0.05,32,0.05,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,29,8.367631237155988,2.857553508406573,0.52789206869095384;0.61629438199330988;0.21973919722930879;0.17675965429200241;0.85342484548137376;0.89177147033576687,0.04999999999999975,0.9499977351300922
near_symmetric_m2_least,0.05,32,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.7312340490667562,2.857553508406573,0.52789206869095384;0.61629438199330988;0.21973919722930879;0.17675965429200241;0.85342484548137376;0.89177147033576687,0.04999999999999975,0.9499977351300922
near_symmetric_m2_least,0.05,32,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,3,0.8656170245333781,2.857553508406573,0.52789206869095384;0.61629438199330988;0.21973919722930879;0.17675965429200241;0.85342484548137376;0.89177147033576687,0.04999999999999975,0.9499977351300922
near_symmetric_m2_least,0.01,32,0.01,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,29,8.367631237155988,1.6893360424871582,0.53037136368570525;0.62663166039271523;0.194827125871914;0.14802717911795818;0.88484038730194026;0.92659560103227934,0.009999999999999726,0.9899975338083226
near_symmetric_m2_least,0.01,32,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,2.3083120654223412,1.6893360424871582,0.53037136368570525;0.62663166039271523;0.194827125871914;0.14802717911795818;0.88484038730194026;0.92659560103227934,0.009999999999999726,0.9899975338083226
near_symmetric_m2_least,0.01,32,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.7312340490667562,1.6893360424871582,0.53037136368570525;0.62663166039271523;0.194827125871914;0.14802717911795818;0.88484038730194026;0.92659560103227934,0.009999999999999726,0.9899975338083226
near_symmetric_m2_least,0.01,32,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,5,1.4426950408889634,1.6893360424871582,0.53037136368570525;0.62663166039271523;0.194827125871914;0.14802717911795818;0.88484038730194026;0.92659560103227934,0.009999999999999726,0.9899975338083226
near_symmetric_m2_least,0.01,32,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.5770780163555853,1.6893360424871582,0.53037136368570525;0.62663166039271523;0.194827125871914;0.14802717911795818;0.88484038730194026;0.92659560103227934,0.009999999999999726,0.9899975338083226
near_symmetric_m2_least,0.002,32,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,9,2.596851073600134,1.4556925493032746,0.53086722268465558;0.62869911607259621;0.18984471160043503;0.14228068408314934;0.89112349566605353;0.93356042717158183,0.001999999999999721,0.9979974935439687
near_symmetric_m2_least,0.002,32,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,7,2.019773057244549,1.4556925493032746,0.53086722268465558;0.62869911607259621;0.18984471160043503;0.14228068408314934;0.89112349566605353;0.93356042717158183,0.001999999999999721,0.9979974935439687
near_symmetric_m2_least,0.002,32,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.7312340490667562,1.4556925493032746,0.53086722268465558;0.62869911607259621;0.18984471160043503;0.14228068408314934;0.89112349566605353;0.93356042717158183,0.001999999999999721,0.9979974935439687
near_symmetric_m2_least,0.002,32,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,5,1.4426950408889634,1.4556925493032746,0.53086722268465558;0.62869911607259621;0.18984471160043503;0.14228068408314934;0.89112349566605353;0.93356042717158183,0.001999999999999721,0.9979974935439687
near_symmetric_m2_least,0.002,32,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,2,0.5770780163555853,1.4556925493032746,0.53086722268465558;0.62869911607259621;0.18984471160043503;0.14228068408314934;0.89112349566605353;0.93356042717158183,0.001999999999999721,0.9979974935439687
near_symmetric_m2_least,0.2,48,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,10.443983714870043,0.39839438620584122;0.60904802093551313;0.6435361825523116;0.35283396545513845;0.24221465681448212;0.7648923273996775,0.1999999999999996,0.7999999989719713
near_symmetric_m2_least,0.2,48,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,10.443983714870043,0.39839438620584122;0.60904802093551313;0.6435361825523116;0.35283396545513845;0.24221465681448212;0.7648923273996775,0.1999999999999996,0.7999999989719713
near_symmetric_m2_least,0.2,48,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,10.443983714870043,0.39839438620584122;0.60904802093551313;0.6435361825523116;0.35283396545513845;0.24221465681448212;0.7648923273996775,0.1999999999999996,0.7999999989719713
near_symmetric_m2_least,0.2,48,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,10.443983714870043,0.39839438620584122;0.60904802093551313;0.6435361825523116;0.35283396545513845;0.24221465681448212;0.7648923273996775,0.1999999999999996,0.7999999989719713
near_symmetric_m2_least,0.2,48,0.2,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,41,10.59102843910048,10.443983714870043,0.39839438620584122;0.60904802093551313;0.6435361825523116;0.35283396545513845;0.24221465681448212;0.7648923273996775,0.1999999999999996,0.7999999989719713
near_symmetric_m2_least,0.05,48,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,3.6659755723050655,0.34759157930876183;0.6635720314032697;0.71530427382846751;0.27925094818270774;0.11332198522172318;0.89733849109951624,0.04999999999999937,0.949999998457957
near_symmetric_m2_least,0.05,48,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,48,12.39925280675178,3.6659755723050655,0.34759157930876183;0.6635720314032697;0.71530427382846751;0.27925094818270774;0.11332198522172318;0.89733849109951624,0.04999999999999937,0.949999998457957
near_symmetric_m2_least,0.05,48,0.05,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,41,10.59102843910048,3.6659755723050655,0.34759157930876183;0.6635720314032697;0.71530427382846751;0.27925094818270774;0.11332198522172318;0.89733849109951624,0.04999999999999937,0.949999998457957
near_symmetric_m2_least,0.05,48,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.5499066008439726,3.6659755723050655,0.34759157930876183;0.6635720314032697;0.71530427382846751;0.27925094818270774;0.11332198522172318;0.89733849109951624,0.04999999999999937,0.949999998457957
near_symmetric_m2_least,0.05,48,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,4,1.033271067229315,3.6659755723050655,0.34759157930876183;0.6635720314032697;0.71530427382846751;0.27925094818270774;0.11332198522172318;0.89733849109951624,0.04999999999999937,0.949999998457957
near_symmetric_m2_least,0.01,48,0.01,EXCLUDED_FROM_FITS_DELTA_EQUALS_EPSILON_ROUNDOFF_SENSITIVE,0.0029087459247931907,41,10.59102843910048,1.85850673428774,0.33404416413620736;0.67811176752800473;0.73444243150210897;0.25962881024339285;0.078950606130320788;0.93265746808613981,0.009999999999999313,0.9899999983208864
near_symmetric_m2_least,0.01,48,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,2.06654213445863,1.85850673428774,0.33404416413620736;0.67811176752800473;0.73444243150210897;0.25962881024339285;0.078950606130320788;0.93265746808613981,0.009999999999999313,0.9899999983208864
near_symmetric_m2_least,0.01,48,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,2.06654213445863,1.85850673428774,0.33404416413620736;0.67811176752800473;0.73444243150210897;0.25962881024339285;0.078950606130320788;0.93265746808613981,0.009999999999999313,0.9899999983208864
near_symmetric_m2_least,0.01,48,0.1,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,4,1.033271067229315,1.85850673428774,0.33404416413620736;0.67811176752800473;0.73444243150210897;0.25962881024339285;0.078950606130320788;0.93265746808613981,0.009999999999999313,0.9899999983208864
near_symmetric_m2_least,0.01,48,0.2,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,4,1.033271067229315,1.85850673428774,0.33404416413620736;0.67811176752800473;0.73444243150210897;0.25962881024339285;0.078950606130320788;0.93265746808613981,0.009999999999999313,0.9899999983208864
near_symmetric_m2_least,0.002,48,0.01,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,9,2.3248599012659588,1.4970129666842742,0.33133468110169645;0.68101971475295175;0.73827006303683729;0.25570438265552986;0.072076330312040318;0.93972126348346452,0.0019999999999993022,0.9979999982934723
near_symmetric_m2_least,0.002,48,0.02,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,8,2.06654213445863,1.4970129666842742,0.33133468110169645;0.68101971475295175;0.73827006303683729;0.25570438265552986;0.072076330312040318;0.93972126348346452,0.0019999999999993022,0.9979999982934723
near_symmetric_m2_least,0.002,48,0.05,SAFE_DELTA_AWAY_FROM_EPSILON,0.0029087459247931907,6,1.5499066008439726,1.4970129666842742,0.33133468110169645;0.68101971475295175;0.73827006303683729;0.25570438265552986;0.072076330312040318;0.93972126348346452,0.0019999999999993022,0.9979999982934723
