family,epsilon,n,Hn_second,increment_second,Hn_second_over_n,conditional_fisher,prediction_vertical,spectral_increment,coherence_increment
near_symmetric_m4_meaningful,0.01,24,-0.003954464624969338,-0.0003995657848523112,-0.00016476935937372242,-8.829211817692232e-32,-0.0003995657848523112,-0.006513059352029074,0.006113493567176763
near_symmetric_m4_meaningful,0.002,2,-6.199176333382276e-08,-6.199176333382276e-08,-3.099588166691138e-08,-7.731304439835758e-37,-6.199176333382276e-08,-0.0010113363890353856,0.0010112743972720518
near_symmetric_m4_meaningful,0.002,3,-2.087351088901233e-07,-1.4674334555630055e-07,-6.95783696300411e-08,-9.325207293861309e-37,-1.4674334555630055e-07,-0.0009932626590401642,0.000993115915694608
near_symmetric_m4_meaningful,0.002,4,-7.366000328477063e-06,-7.15726521958694e-06,-1.8415000821192658e-06,-4.8114644158431883e-35,-7.15726521958694e-06,-0.0016723016250412923,0.0016651443598217053
near_symmetric_m4_meaningful,0.002,5,-1.8408922368831945e-05,-1.1042922040354881e-05,-3.681784473766389e-06,-9.791266869366375e-35,-1.1042922040354881e-05,-0.0011454763457106228,0.001134433423670268
near_symmetric_m4_meaningful,0.002,6,-5.247166282983666e-05,-3.406274046100471e-05,-8.745277138306109e-06,-4.943551326145436e-34,-3.406274046100471e-05,-0.0018785689935517007,0.001844506253090696
near_symmetric_m4_meaningful,0.002,7,-8.727531814494091e-05,-3.480365531510426e-05,-1.2467902592134416e-05,-5.093566294095284e-34,-3.480365531510426e-05,-0.0019231791841420034,0.0018883755288268992
near_symmetric_m4_meaningful,0.002,8,-0.00013262367682561076,-4.5348358680669835e-05,-1.6577959603201344e-05,-5.69510960357934e-34,-4.5348358680669835e-05,-0.0022742008426352347,0.0022288524839545647
near_symmetric_m4_meaningful,0.002,9,-0.00019645187305176336,-6.382819622615262e-05,-2.1827985894640374e-05,-1.0485801015361148e-33,-6.382819622615262e-05,-0.0025095020433984205,0.002445673847172268
near_symmetric_m4_meaningful,0.002,10,-0.00031171926533766353,-0.00011526739228590018,-3.117192653376635e-05,-2.760588136148526e-32,-0.00011526739228590018,-0.0029886606381112936,0.0028733932458253936
near_symmetric_m4_meaningful,0.002,11,-0.000426960301427055,-0.00011524103608939149,-3.8814572857005e-05,-2.88148647889302e-32,-0.00011524103608939149,-0.0031465181649572606,0.0030312771288678693
near_symmetric_m4_meaningful,0.002,12,-0.0005514820563088316,-0.00012452175488177652,-4.595683802573596e-05,-3.030809712242126e-32,-0.00012452175488177652,-0.003282586329940978,0.003158064575059201
near_symmetric_m4_meaningful,0.002,13,-0.0007430608565175659,-0.00019157880020873437,-5.7158527424428144e-05,-3.308585628359522e-32,-0.00019157880020873437,-0.0038844948143413223,0.003692916014132588
near_symmetric_m4_meaningful,0.002,14,-0.0009747044839995119,-0.000231643627481946,-6.962174885710799e-05,-5.768296459321409e-32,-0.000231643627481946,-0.004183351254993136,0.00395170762751119
near_symmetric_m4_meaningful,0.002,15,-0.0012115549918440339,-0.00023685050784452198,-8.077033278960226e-05,-5.967727137076699e-32,-0.00023685050784452198,-0.004436920995523265,0.004200070487678743
near_symmetric_m4_meaningful,0.002,16,-0.0014557417243673586,-0.00024418673252332484,-9.098385777295991e-05,-6.138754066840364e-32,-0.00024418673252332484,-0.004514662763261658,0.004270476030738333
near_symmetric_m4_meaningful,0.002,17,-0.0017772357450496392,-0.0003214940206822806,-0.00010454327912056701,-6.416680277448586e-32,-0.0003214940206822806,-0.005216980887590213,0.004895486866907932
near_symmetric_m4_meaningful,0.002,18,-0.002133960583373139,-0.0003567248383234998,-0.00011855336574295217,-8.422133283427491e-32,-0.0003567248383234998,-0.005419199010540533,0.005062474172217033
near_symmetric_m4_meaningful,0.002,19,-0.0025031730256544725,-0.0003692124422813336,-0.00013174594871865646,-9.049404054560516e-32,-0.0003692124422813336,-0.005701890948305657,0.0053326785060243236
near_symmetric_m4_meaningful,0.002,20,-0.0028802394871497803,-0.00037706646149530796,-0.00014401197435748902,-9.318758830747097e-32,-0.00037706646149530796,-0.005816374745861039,0.005439308284365731
near_symmetric_m4_meaningful,0.002,21,-0.0033176598591047046,-0.0004374203719549244,-0.00015798380281450974,-9.644966320980918e-32,-0.0004374203719549244,-0.0063447725720169115,0.005907352200061987
near_symmetric_m4_meaningful,0.002,22,-0.0037884762353332245,-0.0004708163762285199,-0.0001722034652424193,-1.105207293150079e-31,-0.0004708163762285199,-0.006672173638796727,0.006201357262568208
near_symmetric_m4_meaningful,0.002,23,-0.004273042387493835,-0.0004845661521606104,-0.00018578445163016673,-1.2051159822799175e-31,-0.0004845661521606104,-0.0068797138557780135,0.006395147703617403
near_symmetric_m4_meaningful,0.002,24,-0.0047677780427033255,-0.00049473565520949,-0.0001986574184459719,-1.2499178488287468e-31,-0.00049473565520949,-0.007033887153500992,0.006539151498291502
